epoch,time_s,avg_train_loss,train_acc,train_f1,train_precision,train_recall,avg_val_loss,val_acc,val_f1,val_precision,val_recall,val_mae,val_rmse,val_ccc
1,1.07,4.1678,0.3611,0.1104,0.1088,0.1851,2.7084,0.5248,0.0983,0.0750,0.1429,0.7519,1.0246,-0.0008
2,1.16,2.5523,0.4421,0.0879,0.0638,0.1414,2.3391,0.5248,0.0983,0.0750,0.1429,0.7842,0.8573,0.0448
3,1.05,2.3083,0.4491,0.0919,0.2068,0.1447,2.3027,0.5248,0.0983,0.0750,0.1429,0.7962,0.8688,0.0664
4,1.05,2.2331,0.4444,0.0879,0.0636,0.1421,2.3279,0.5248,0.0983,0.0750,0.1429,0.7355,0.8876,0.0970
5,1.06,2.4455,0.4444,0.0881,0.0638,0.1421,2.4925,0.5248,0.0983,0.0750,0.1429,0.8648,0.9616,0.0667
6,1.02,2.2576,0.4421,0.1228,0.1068,0.1595,2.1988,0.5248,0.0983,0.0750,0.1429,0.7701,0.8398,0.1061
7,1.06,2.1590,0.4537,0.1112,0.2311,0.1530,2.2471,0.5248,0.0983,0.0750,0.1429,0.7696,0.8544,0.1381
8,2.02,2.2036,0.4560,0.1361,0.1502,0.1667,2.2544,0.5248,0.0983,0.0750,0.1429,0.7404,0.8371,0.1355
9,1.02,2.2468,0.4769,0.1509,0.2500,0.1770,2.2725,0.5248,0.1270,0.1076,0.1640,0.7748,0.8511,0.1071
10,1.00,2.1268,0.4676,0.1630,0.2583,0.1826,2.2681,0.5248,0.0996,0.0765,0.1429,0.7433,0.8595,0.1288
11,1.02,2.0897,0.4468,0.1461,0.1519,0.1709,2.3409,0.5149,0.1331,0.1050,0.1824,0.7742,0.8696,0.0952
12,1.02,1.9922,0.4676,0.1685,0.1793,0.1951,2.3792,0.5248,0.1003,0.0773,0.1429,0.7561,0.8743,0.0990
13,1.04,2.0342,0.4468,0.1789,0.1632,0.2026,2.5281,0.4257,0.0988,0.0812,0.1262,0.7904,0.9267,0.0006
14,1.12,2.0326,0.4884,0.1910,0.2159,0.2119,2.5698,0.3861,0.1007,0.0854,0.1257,0.8447,0.9519,0.0313
15,0.97,1.9535,0.4745,0.1997,0.2147,0.2117,2.5944,0.4158,0.1221,0.0988,0.1765,0.8403,0.9361,0.0141
16,0.99,1.9375,0.4907,0.2390,0.2797,0.2564,2.6701,0.3465,0.1078,0.1016,0.1199,0.8250,0.9720,0.0581
17,0.98,1.8053,0.5000,0.2998,0.4856,0.2861,2.6866,0.4950,0.1183,0.0956,0.1559,0.8769,0.9944,-0.0010
18,1.01,1.8535,0.5370,0.2558,0.2872,0.2598,2.8168,0.4059,0.1096,0.0909,0.1527,0.8486,0.9856,-0.0006
19,1.01,1.7102,0.5602,0.2657,0.3139,0.2856,3.1659,0.2772,0.0994,0.1014,0.1010,0.9725,1.1193,-0.0397
20,1.01,1.7202,0.5370,0.3557,0.4575,0.3313,2.8976,0.3564,0.0997,0.0863,0.1181,0.8674,0.9938,-0.0940
21,0.99,1.6330,0.5486,0.3745,0.4717,0.3542,3.0189,0.3861,0.1247,0.1122,0.1562,0.8909,1.0383,0.0374
22,1.30,1.5652,0.5903,0.4041,0.5425,0.3806,3.0673,0.3168,0.0979,0.0999,0.1118,0.8912,1.0384,0.0202
23,0.98,1.5760,0.5718,0.4471,0.5221,0.4197,3.2388,0.3069,0.1052,0.0925,0.1361,0.8834,1.0512,-0.0065
24,0.99,1.6353,0.5764,0.4075,0.5159,0.3917,3.1465,0.2970,0.1134,0.1064,0.1270,0.8838,1.0586,-0.0252
25,0.97,1.5562,0.5671,0.4082,0.6055,0.3825,2.9916,0.4752,0.0966,0.0770,0.1294,0.8489,1.0090,-0.0633
26,1.01,1.5412,0.5810,0.4044,0.5014,0.3684,3.3651,0.2574,0.0865,0.0796,0.1015,0.9060,1.0629,-0.0192
27,0.98,1.6101,0.5926,0.4610,0.5383,0.4313,2.9281,0.3366,0.0935,0.0803,0.1128,0.8681,0.9766,-0.0071
28,1.00,1.5558,0.5833,0.4230,0.5855,0.3884,3.4220,0.3267,0.0919,0.0803,0.1101,0.9492,1.1136,-0.0564
29,0.99,1.4398,0.6250,0.4961,0.5752,0.4665,3.2424,0.3366,0.1098,0.1113,0.1383,0.8588,1.0218,0.0619
30,1.00,1.4540,0.6088,0.4097,0.6480,0.3861,3.2167,0.3465,0.1061,0.0964,0.1199,0.8946,1.0369,-0.0958
31,1.03,1.3753,0.6296,0.5098,0.5952,0.4846,3.2047,0.4059,0.1245,0.1071,0.1572,0.8723,1.0433,0.0377
32,1.02,1.4062,0.6204,0.4792,0.6338,0.4490,3.4050,0.2970,0.0953,0.0894,0.1064,0.8693,1.0524,-0.0606
33,1.01,1.4439,0.6065,0.4723,0.5425,0.4473,3.4351,0.3366,0.1160,0.1068,0.1428,0.9134,1.0862,0.0082
34,0.99,1.4093,0.6296,0.4907,0.5709,0.4555,3.3410,0.2970,0.1027,0.0949,0.1275,0.8643,0.9926,0.0653
35,0.99,1.5201,0.6042,0.4620,0.6111,0.4254,3.2577,0.3168,0.1165,0.1147,0.1374,0.8862,1.0433,-0.0129
36,1.02,1.4593,0.6181,0.5031,0.6404,0.4559,3.0841,0.3663,0.1108,0.0967,0.1311,0.7967,0.9747,0.0255
37,1.01,1.2879,0.6435,0.5190,0.6201,0.4847,3.2558,0.4059,0.1092,0.0937,0.1316,0.8696,1.0518,-0.0653
38,0.98,1.2408,0.6574,0.5969,0.6624,0.5761,3.1566,0.3960,0.1258,0.1206,0.1437,0.8343,1.0034,0.0894
39,1.39,1.2326,0.6713,0.5765,0.6682,0.5296,3.3373,0.3168,0.1015,0.0897,0.1177,0.8595,1.0043,-0.0257
40,1.01,1.1789,0.6644,0.5235,0.6046,0.4941,3.4691,0.3267,0.1091,0.0953,0.1306,0.8419,1.0382,0.0069
41,1.03,1.1594,0.7037,0.6198,0.7508,0.5675,3.3298,0.3465,0.1053,0.0913,0.1257,0.8128,1.0282,0.0385
42,1.02,1.1195,0.7060,0.6190,0.6535,0.6006,3.6247,0.3267,0.1006,0.0870,0.1204,0.8658,1.0723,-0.0477
43,1.02,1.0874,0.7130,0.5945,0.7040,0.5559,3.4984,0.3366,0.1060,0.0945,0.1230,0.8743,1.0226,-0.0002
